Drug_Name,Reason,Description
Telmed AM Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmed Beta 25mg Tablet 10'STelmed Beta 50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmed CT 80mg Tablet 10'STelmed CT Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmed H 40mg Tablet 10'STelmed H 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmedip H 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmeron 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmeron AM 5mg/80mg Tablet 10'STelmeron AM 5mg/40mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telmeron CH 40/12.5mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telmeron Trio 12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telmi 4 U 40mg Tablet 10'STelmi 4 U 20mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmichek A Tablet 10'STelmichek 80mg Tablet 10'STelmichek 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmichek AH Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmichek CT Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmichek H 80/12.5mg Tablet 10'STelmichek H Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmichek M 50mg Tablet 10'STelmichek M 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmidil 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmidil AM Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmidil H Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmiduce 20mg Tablet 10'STelmiduce 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmiduce AM 40/5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmiduce H Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmifine 80Mg Tablet 10'sTELMIFINE 40mg Tablet 10'sTelmifine 20mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmifine AM 5mg/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmifine CH 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmiget 20mg Tablet 10'STelmiget 40mg Tablet 10'STelmiget 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmiget Am Tablet 10's,Hypertension,used to treatÂ blood pressure (hypertension)
TELMIGET CT 80mg Tablet 10'sTelmiget Ct 40Mg Tablet 10's,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
TELMIGET H Tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telmigraf 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmijub 20mg Tablet 10'STelmijub 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmijub AM 40/5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmijub Beta 40/50mg Tablet 10'STelmijub Beta 40/25mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmijub CH 40/12.5mg Tablet 10'STelmijub CH 80/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmikaa 40mg Tablet 10'STelmikaa H 80mg Tablet 10'STelmikaa 20mg Tablet 10'STelmikaa 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmikaa AM Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmikaa Amh Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmikaa CT Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmikaa H 40/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmikaa MT 25mg Tablet 10'STelmikaa MT 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmikind 40mg Tablet 10'STelmikind 80mg Tablet 10'STelmikind 20mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmikind AM 40mg Tablet 10'STelmikind AM 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmikind Amh Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmikind Beta 25mg Tablet 10'STelmikind Beta 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmikind CT 40mg Tablet 10'STelmikind CT 80/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmikind H 80mg Tablet 10'STELMIKIND H 40mg Tablet 15'sTelmikind H 40mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
TELMILACE 40mg Tablet 10's,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
TELMILACE H Tablet 10's,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
TELMILIVE 20mg Tablet 10'sTELMILIVE 40mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
TELMILIVE H Tablet 10's,Hypertension,lower high blood pressure (hypertension)
Telminorm Bxl 40/50mg Tablet 10'STelminorm 20mg Tablet 10'STelminorm 80mg Tablet 10'STelminorm CH 40/12.5mg Tablet 10'STelminorm CH 40/6.25mg Tablet 10'STelminorm 40mg Tablet 10'STelminorm Bxl 40/25mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telminorm AM 40/5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telminorm CH 80/12.5mg Tablet 10'STelminorm CH 80/6.25mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telminorm H 80mg Tablet 10'STelminorm H 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telminorm R Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmipack 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmipack CL 40/10mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmipack CT 40/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmipack Trio 40/10/12.5mg Tablet 10'STelmipack Trio 6.25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmipharm 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmipharm AM Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmipharm Amh Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmipharm H Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmiprime 40mg Tablet 10'STelmiprime 20mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmiprime AM 5mg/40mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telmiprime Beta 25mg Tablet 10'STelmiprime Beta 50mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telmiprime CH 40/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telmiprime H 40/12.5mg Tablet 10'STelmiprime H 80/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmiride 20mg Tablet 10'STelmiride 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmiride AM 5/40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmiride Amh 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmiride CH 6.25mg Tablet 10'STelmiride CH 12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmiride H 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmiride LN Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmiride MT 25mg Tablet 10'STelmiride MT 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
TELMISAFE 40mg Tablet 10'sTelmisafe 20mg Tablet 10'STELMISAFE 80mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
TELMISAFE H 40mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmisartan(Dr.Reddys) 20mg Tablet 30'STelmisartan(Dr.Reddys) 40mg Tablet 100'STelmisartan(Dr.Reddys) 80mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
Telmisat H 80mg Tablet 10'STelmisat 20mg Tablet 10'STelmisat 40mg Tablet 10'STelmisat CT 80mg Tablet 10'STelmisat 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmisat AM 5mg/80mg Tablet 10'STelmisat AM 5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmisat CT 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmisat H 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmisat R 40/2.5mg Tablet 10'STelmisat R 40/5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmisurge 40mg Tablet 10'STelmisurge 80mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telmisurge H 40/12.5mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telmital 80mg Tablet 10'STelmital 40mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telmital A 5mg/40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmital CT 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmitat 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmiten 40mg Tablet 10'STelmiten 20mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmiten H Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmitime 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmitime A Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmitime H 40/12.5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmitrust 40mg Tablet 14'STelmitrust 20mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmitrust CT 40mg Tablet 10'STelmitrust CT 80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telmitrust H Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
Telmitrust LN Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
TELMIVAS 80MG TABLET 10'STELMIVAS AM TABLET 10'STelmivas M 25mg Tablet 10'STELMIVAS 40MG TABLET 10'STelmivas M 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telmiwock H 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telmiz 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telmore 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telmore H 80/12.5mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telmurix 40/6.25mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telo 20mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telong 20mg Tablet 10'STelong 40mg Tablet 10'STelong H Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telong Duo Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telong Trio Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telpic 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telpic H 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telpine 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telplus Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telplus Trio Tablet 10'STelplus Trio 6.25Mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telpres 20mg Tablet 10'STelpres 40mg Tablet 15'STelpres 80mg Tablet 10'STELPRES 20mg Tablet 15'sTelpres 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telpres AM 80mg Tablet 10'STelpres AM 40mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telpres Amh Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telpres Ct 40/6.25Mg Tablet 15'sTelpres CT 40/6.25mg Tablet 10'STelpres CT 80/12.5mg Tablet 10'STelpres Ct 40/12.5Mg Tablet 15'sTelpres CT 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telpres H 40mg Tablet 10'STelpres H 40mg Tablet 15'STelpres H 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
TELPRES LN 40mg Tablet 10'sTELPRES LN 80mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telpres MT 50mg Tablet 15'STelpres MT 50mg Tablet 10'STelpres Mt 25Mg Tablet 15'sTelpres MT 25mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
TELPRES TRIO 40mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telride 40mg Tablet 10'STelride 80mg Tablet 10'STelride 20mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telride AM 40/5mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telride H 40/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telrose Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telsaan AM 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telsar 80mg Tablet 10'STelsar 40mg Tablet 15'STelsar 40mg Tablet 10'STelsar 20mg Tablet 15'STelsar A 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telsar A 80mg Tablet 10'STelsar A 40mg Tablet 15'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telsar AM 5/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telsar Beta 25mg Tablet 10'STelsar Beta 50mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telsar CH 40/6.25mg Tablet 10'STelsar CH 40mg Tablet 10'STelsar CH 80/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telsar H 40mg Tablet 15'STelsar H 80mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telsar LN 5/40mg Tablet 10'STelsar LN 10/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telsartan 20mg Tablet 14'STelsartan 80mg Tablet 14'STelsartan 40mg Tablet 28'STelsartan H 40mg Tablet 15'STelsartan 40mg Tablet 15'STelsartan 40mg Tablet 14'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telsartan Activ 80mg Tablet 30'STelsartan Activ 20mg Tablet 30'STelsartan Activ 40mg Tablet 30'S,Hypertension,lower high blood pressure (hypertension)
Telsartan AM 40/5mg Tablet 30'STelsartan AM 80/5mg Tablet 30'STelsartan AM 80mg Tablet 10'STelsartan AM 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
TELSARTAN ATR Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telsartan CT 40mg Tablet 10'STelsartan CT 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telsartan H 40mg Tablet 14'STelsartan H 80mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
Telsartan R 5mg Tablet 10'STelsartan R 2.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telsartan Trio Tablet 30'S,Hypertension,used to treatÂ blood pressure (hypertension)
TELSIG 20mg Tablet 10'sTELSIG 80mg Tablet 10'sTELSIG 40mg Tablet 10's,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telsite 20mg Tablet 15'STelsite 80mg Tablet 15'STelsite 40mg Tablet 15'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telsite AM Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telsite Amh Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telsite H 80mg Tablet 10'STelsite H 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telsmall 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telstat 80mg Tablet 10'STelstat 40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telstat AM 5mg/40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telstat H 40/12.5mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telster 40Mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telster Am 40Mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telster Ct 40Mg Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
TELSURE AM TABLET 10'STELSURE 20MG TABLET 10'STELSURE H TABLET 10'STELSURE 40MG TABLET 10'S,Hypertension,lower high blood pressure (hypertension)
Teltab 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Teltel H 40/12.5mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Teltin H 80/12.5mg Tablet 10'STeltin H 40/12.5mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Teltop 40mg Tablet 10'STeltop 20mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Teltor 20mg Tablet 10'STeltor 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Teltor AM 40/5mg Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Teltor AV 40/10mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Teltor H 40/12.5mg Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telvas 40mg Tablet 10'STelvas 80mg Tablet 10'STelvas 20mg Tablet 10'STelvas 30mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telvas 3D 80mg Tablet 10'STelvas 3D 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telvas AM 40mg Tablet 10'STelvas AM 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telvas Beta 25mg Tablet 10'STelvas Beta 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telvas CT 40mg Tablet 10'STelvas CT 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telvas CT LS Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telvas H 40mg Tablet 10'STelvas H 80mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telvas LN 80mg Tablet 10'STelvas LN 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Telvilite 80mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telvilite AM 5/80mg Tablet 10'STelvilite AM 5mg/80mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telvilite H 80/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
TELZA 40mg Tablet 10'sTELZA 80mg Tablet 10'sTELZA 20mg Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
TELZA AM 80mg Tablet 10'sTELZA AM 40mg Tablet 10's,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
TELZA H Tablet 10'sTELZA H 80mg Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Telzen 20mg Tablet 10'STelzen 80mg Tablet 10'STelzen AM Tablet 10'STelzen 40mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telzen Amh 40mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telzen H Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
Telzox 40mg Tablet 10'STelzox 20mg Tablet 10'STelzox 80mg Tablet 10'S,Hypertension,Â chest pain due to narrowing of the blood vessels of the heart muscle (angina pectoris) or the rarer form of chest pain caused by cramping of the blood vessels of the heart muscle called Prinzmetal or variant angina
Telzox AM Tablet 10'S,Hypertension,used to treat people with certain types of pulmonary arterial hypertension (PAH)
Telzox CH Tablet 10'STelzox CH 80/12.5mg Tablet 10'S,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Telzox H Tablet 10'STelzox H 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Telzox M 25mg Tablet 10'STelzox M 50mg Tablet 10'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Telzox Trio 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Temax 40mg Tablet 14'STemax 80mg Tablet 14'STemax 20mg Tablet 14'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Temax AM 80mg Tablet 14'STemax AM 5mg/40mg Tablet 14'S,Hypertension,lower high blood pressure (hypertension)
Temax H Tablet 14'STemax H 80mg Tablet 14'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Temmy 20mg Tablet 10'STemmy 80mg Tablet 10'STemmy 40mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Temmy Amh Tablet 10's,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Temmy Ch Tablet 10's,Hypertension,slow the worsening of diabetic kidney disease (nephropathy) in patients with type 2 diabetes who have or had high blood pressure
Temmy H 80/12.5mg Tablet 10'STemmy H 40/12.5mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Temmy Ln Tablet 10's,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Temmy M 25Mg Tablet 10'sTemmy M 50mg Tablet 10'S,Hypertension,Â treat high blood pressure (hypertension) and a type of chest pain called angina
Temmy Plus 5/40mg Tablet 10'S,Hypertension,used for treating high blood pressure (essential hypertension) in adults
Temsan 20mg Tablet 15'STemsan 80mg Tablet 10'STemsan 40mg Tablet 10'STemsan H 40mg Tablet 10'STemsan 40mg Tablet 15'STemsan 80mg Tablet 15'STemsan CT 80mg Tablet 10'S,Hypertension,lower high blood pressure (hypertension)
Temsan AM 2.5mg Tablet 15'STemsan AM 5mg Tablet 15'S,Hypertension,lowerÂ chance of stroke in patients with high blood pressure and a heart problem called left ventricular hypertrophy (LVH)
Temsan CT 6.25mg Tablet 10'STemsan CT Tablet 10'S,Hypertension,used to treatÂ blood pressure (hypertension)
